"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 19:55:01 GMT 2024","Wed Apr 03 19:55:01 GMT 2024","17","","","","Task60Tests","DeleteUser_RequiredFieldSexMissing_Invalid","Test Delete User - Sex is Not Specified",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","7","","","","Task30Tests","CreateUser_RequiredFieldsOnlyPopulated_Valid","Test Create New User - Required Fields Only Popolated",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","33","","","","Task30Tests","CreateUser_AllFieldsPopulated_Valid","Test Create New User - All Fields Popolated",""
"passed","Wed Apr 03 19:55:01 GMT 2024","Wed Apr 03 19:55:01 GMT 2024","12","","","","Task60Tests","DeleteUser_RequiredFieldNameMissing_Invalid","Test Delete User - Name is Not Specified",""
"passed","Wed Apr 03 19:54:56 GMT 2024","Wed Apr 03 19:54:57 GMT 2024","1018","","","","Task50Tests","UpdateUser_WithPatch_UpdateAge_Valid","Test Update User with PATCH - Updating Age",""
"passed","Wed Apr 03 19:55:00 GMT 2024","Wed Apr 03 19:55:01 GMT 2024","1018","","","","Task50Tests","UpdateUser_WithPut_UpdateAge_Valid","Test Update User with PUT - Updating Age",""
"passed","Wed Apr 03 19:54:55 GMT 2024","Wed Apr 03 19:54:56 GMT 2024","1016","","","","Task50Tests","UpdateUser_WithPatch_UnavailableZipCode_InValid","Test Update User with PATCH - New ZIP Code is Unavailable",""
"passed","Wed Apr 03 19:55:02 GMT 2024","Wed Apr 03 19:55:02 GMT 2024","13","","","","Task60Tests","DeleteUser_UserDeletedIfRequiredFieldsOnlySpecified_Valid","Test Delete User - Required Fields Only Specified",""
"passed","Wed Apr 03 19:54:53 GMT 2024","Wed Apr 03 19:54:54 GMT 2024","1043","","","","Task50Tests","UpdateUser_WithPatch_NameMissed_Invalid","Test Update User with PATCH - Name is Missing",""
"passed","Wed Apr 03 19:54:58 GMT 2024","Wed Apr 03 19:54:59 GMT 2024","1018","","","","Task50Tests","UpdateUser_WithPut_SexMissed_Invalid","Test Update User with PUT - Sex is Missing",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","284","","","","Task20Tests","ExpandZipCodes_NewZipCodesAdded_Valid","Test Add New ZIP Codes",""
"passed","Wed Apr 03 19:54:44 GMT 2024","Wed Apr 03 19:54:47 GMT 2024","3026","","","","Task40Tests","GetUsers_FilteredBySex_Valid","Test Get Users - Filtered by 'sex'",""
"passed","Wed Apr 03 19:54:59 GMT 2024","Wed Apr 03 19:55:00 GMT 2024","1015","","","","Task50Tests","UpdateUser_WithPut_UnavailableZipCode_InValid","Test Update User with PUT - New ZIP Code is Unavailable",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","30","","","","Task20Tests","ExpandZipCodes_NoDuplicatesCreated_InputAlreadyExists_Valid","Test Add New ZIP Codes - No Duplicates Are Created for Not Used ZIP Codes",""
"passed","Wed Apr 03 19:54:50 GMT 2024","Wed Apr 03 19:54:53 GMT 2024","3022","","","","Task40Tests","GetUsers_Valid","Test Get Users - Unfiltered",""
"passed","Wed Apr 03 19:55:01 GMT 2024","Wed Apr 03 19:55:02 GMT 2024","17","","","","Task60Tests","DeleteUser_UserDeleted_Valid","Test Delete User",""
"passed","Wed Apr 03 19:55:02 GMT 2024","Wed Apr 03 19:55:02 GMT 2024","38","","","","Task70Tests","UploadUsers_IncorrectZipCode_Invalid","Test Upload Users From JSON File - One User with Unavailable ZIP Code",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","18","","","","Task30Tests","CreateUser_UserAlreadyExists_Invalid","Test Create New User - User with specified Name/Sex already exists",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","7","","","","Task20Tests","GetZipCodes_AvailableZipCodesReturned_Valid","Test Get Available ZIP Codes",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:41 GMT 2024","15","","","","Task30Tests","CreateUser_NotExistingZipCode_Invalid","Test Create New User - Unavailable ZIP Code",""
"passed","Wed Apr 03 19:54:47 GMT 2024","Wed Apr 03 19:54:50 GMT 2024","3021","","","","Task40Tests","GetUsers_FilteredByYoungerThan_Valid","Test Get Users - Filtered by 'youngerThan'",""
"passed","Wed Apr 03 19:54:41 GMT 2024","Wed Apr 03 19:54:44 GMT 2024","3051","","","","Task40Tests","GetUsers_FilteredByOlderThan_Valid","Test Get Users - Filtered by 'olderThan'",""
"passed","Wed Apr 03 19:54:57 GMT 2024","Wed Apr 03 19:54:58 GMT 2024","1020","","","","Task50Tests","UpdateUser_WithPut_NameMissed_Invalid","Test Update User with PUT - Name is Missing",""
"passed","Wed Apr 03 19:55:02 GMT 2024","Wed Apr 03 19:55:02 GMT 2024","14","","","","Task70Tests","UploadUsers_MissingRequiredField_Invalid","Test Upload Users From JSON File - One User with Missing Sex Value",""
"passed","Wed Apr 03 19:54:54 GMT 2024","Wed Apr 03 19:54:55 GMT 2024","1020","","","","Task50Tests","UpdateUser_WithPatch_SexMissed_Invalid","Test Update User with PATCH - Sex is Missing",""
